dimension_version_id,dimension_id,taxonomy_version_id,internal_canonical_label,display_label,definition,lifecycle_status,standard_mapping_status,standard_id,mapping_confidence,mapping_evidence,review_status,role_boundary_eligible
dv_backend_java-spring,dim_backend_java-spring,tx_demo_backend,java_spring,Java·Spring 기반 서버 개발,JVM 계열 언어와 Spring 계열 프레임워크로 서버 애플리케이션을 구현하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_rdb-modeling,dim_backend_rdb-modeling,tx_demo_backend,rdb_modeling,관계형 데이터베이스 모델링,테이블 설계와 조인·인덱스를 포함한 관계형 데이터베이스 사용 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_caching-performance,dim_backend_caching-performance,tx_demo_backend,caching_performance,캐시·조회 성능 개선,캐시 계층과 부하 측정으로 응답 지연을 줄이는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_message-queue,dim_backend_message-queue,tx_demo_backend,message_queue,메시지 큐·이벤트 처리,메시지 브로커로 비동기 이벤트를 발행·소비하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_rest-api-design,dim_backend_rest-api-design,tx_demo_backend,rest_api_design,REST API 설계,"자원 설계, 예외 응답, 하위 호환을 포함한 HTTP API 설계 요구.",active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_transaction-integrity,dim_backend_transaction-integrity,tx_demo_backend,transaction_integrity,트랜잭션·데이터 정합성,격리수준·멱등성·재처리로 데이터 정합성을 지키는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_test-automation,dim_backend_test-automation,tx_demo_backend,test_automation,테스트 코드 작성,단위·통합 테스트로 회귀를 막는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
dv_backend_monitoring-incident,dim_backend_monitoring-incident,tx_demo_backend,monitoring_incident,모니터링·장애 대응,지표 수집과 장애 탐지·복구를 수행하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_backend_container-deploy,dim_backend_container-deploy,tx_demo_backend,container_deploy,컨테이너 기반 배포,컨테이너 이미지를 빌드해 서비스를 배포하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_backend_cloud-infra,dim_backend_cloud-infra,tx_demo_backend,cloud_infra,클라우드 인프라 운영,클라우드 자원을 구성하고 운영까지 책임지는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_backend_cicd-automation,dim_backend_cicd-automation,tx_demo_backend,cicd_automation,CI/CD 파이프라인,빌드·검증·배포를 자동화하는 파이프라인 구성 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,true
dv_backend_payment-settlement,dim_backend_payment-settlement,tx_demo_backend,payment_settlement,결제·정산 도메인 이해,결제·정산·거래 도메인의 용어와 흐름을 이해하는 요구.,active,unmapped,\N,\N,"{""note"": ""생성 데이터는 표준 매핑을 하지 않는다""}",approved,false
