track_id,analysis_version,scope_level,scope_id,capability_id,phase_label,priority,depth_reference
st_demo_backend_overall_transaction-consistency,an_demo_backend,overall,backend,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_overall_api-implementation,an_demo_backend,overall,backend,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_overall_operability,an_demo_backend,overall,backend,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_bigtech_platform_transaction-consistency,an_demo_backend,cluster,bigtech_platform,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_bigtech_platform_api-implementation,an_demo_backend,cluster,bigtech_platform,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_bigtech_platform_operability,an_demo_backend,cluster,bigtech_platform,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_startup_transaction-consistency,an_demo_backend,cluster,startup,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_startup_api-implementation,an_demo_backend,cluster,startup,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_startup_operability,an_demo_backend,cluster,startup,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_b2b_saas_transaction-consistency,an_demo_backend,cluster,b2b_saas,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_b2b_saas_api-implementation,an_demo_backend,cluster,b2b_saas,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_b2b_saas_operability,an_demo_backend,cluster,b2b_saas,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_fintech_finance_transaction-consistency,an_demo_backend,cluster,fintech_finance,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_fintech_finance_api-implementation,an_demo_backend,cluster,fintech_finance,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_fintech_finance_operability,an_demo_backend,cluster,fintech_finance,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_si_enterprise_transaction-consistency,an_demo_backend,cluster,si_enterprise,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_si_enterprise_api-implementation,an_demo_backend,cluster,si_enterprise,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_si_enterprise_operability,an_demo_backend,cluster,si_enterprise,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_game_transaction-consistency,an_demo_backend,cluster,game,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_game_api-implementation,an_demo_backend,cluster,game,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_game_operability,an_demo_backend,cluster,game,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_dp_backend_01_transaction-consistency,an_demo_backend,posting,dp_backend_01,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_dp_backend_01_api-implementation,an_demo_backend,posting,dp_backend_01,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_dp_backend_01_operability,an_demo_backend,posting,dp_backend_01,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_dp_backend_02_transaction-consistency,an_demo_backend,posting,dp_backend_02,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_dp_backend_02_api-implementation,an_demo_backend,posting,dp_backend_02,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_dp_backend_02_operability,an_demo_backend,posting,dp_backend_02,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_dp_backend_03_transaction-consistency,an_demo_backend,posting,dp_backend_03,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_dp_backend_03_api-implementation,an_demo_backend,posting,dp_backend_03,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_dp_backend_03_operability,an_demo_backend,posting,dp_backend_03,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_dp_backend_04_transaction-consistency,an_demo_backend,posting,dp_backend_04,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_dp_backend_04_api-implementation,an_demo_backend,posting,dp_backend_04,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_dp_backend_04_operability,an_demo_backend,posting,dp_backend_04,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_backend_dp_backend_05_transaction-consistency,an_demo_backend,posting,dp_backend_05,cap_backend_transaction-consistency,STEP 01~02와 병행,vhigh,tradeoff
st_demo_backend_dp_backend_05_api-implementation,an_demo_backend,posting,dp_backend_05,cap_backend_api-implementation,STEP 01~03과 병행,high,application
st_demo_backend_dp_backend_05_operability,an_demo_backend,posting,dp_backend_05,cap_backend_operability,상시 · 주 3~4시간,high,application
st_demo_frontend_overall_experience-quality,an_demo_frontend,overall,frontend,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_overall_state-data-flow,an_demo_frontend,overall,frontend,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_overall_frontend-engineering,an_demo_frontend,overall,frontend,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_bigtech_platform_experience-quality,an_demo_frontend,cluster,bigtech_platform,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_bigtech_platform_state-data-flow,an_demo_frontend,cluster,bigtech_platform,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_bigtech_platform_frontend-engineering,an_demo_frontend,cluster,bigtech_platform,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_startup_experience-quality,an_demo_frontend,cluster,startup,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_startup_state-data-flow,an_demo_frontend,cluster,startup,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_startup_frontend-engineering,an_demo_frontend,cluster,startup,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_b2b_saas_experience-quality,an_demo_frontend,cluster,b2b_saas,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_b2b_saas_state-data-flow,an_demo_frontend,cluster,b2b_saas,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_b2b_saas_frontend-engineering,an_demo_frontend,cluster,b2b_saas,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_fintech_finance_experience-quality,an_demo_frontend,cluster,fintech_finance,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_fintech_finance_state-data-flow,an_demo_frontend,cluster,fintech_finance,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_fintech_finance_frontend-engineering,an_demo_frontend,cluster,fintech_finance,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_si_enterprise_experience-quality,an_demo_frontend,cluster,si_enterprise,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_si_enterprise_state-data-flow,an_demo_frontend,cluster,si_enterprise,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_si_enterprise_frontend-engineering,an_demo_frontend,cluster,si_enterprise,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_game_experience-quality,an_demo_frontend,cluster,game,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_game_state-data-flow,an_demo_frontend,cluster,game,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_game_frontend-engineering,an_demo_frontend,cluster,game,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_dp_frontend_01_experience-quality,an_demo_frontend,posting,dp_frontend_01,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_dp_frontend_01_state-data-flow,an_demo_frontend,posting,dp_frontend_01,cap_frontend_state-data-flow,STEP 02와 병행,high,application
st_demo_frontend_dp_frontend_01_frontend-engineering,an_demo_frontend,posting,dp_frontend_01,cap_frontend_frontend-engineering,상시 · 주 3~4시간,high,application
st_demo_frontend_dp_frontend_02_experience-quality,an_demo_frontend,posting,dp_frontend_02,cap_frontend_experience-quality,STEP 01~03과 병행,vhigh,tradeoff
st_demo_frontend_dp_frontend_02_state-data-flow,an_demo_frontend,posting,dp_frontend_02,cap_frontend_state-data-flow,STEP 02와 병행,high,application
