capability_id,job_role_id,canonical_label,definition,is_active
cap_backend_api-implementation,backend,API 구현,한 도메인의 자원을 HTTP API 로 완성해 배포까지 끌고 가는 능력.,true
cap_backend_data-modeling,backend,데이터 모델링,요구를 테이블과 쿼리로 옮기고 조회 비용을 설명하는 능력.,true
cap_backend_transaction-consistency,backend,정합성 보장,동시 요청과 실패 재처리에서 데이터가 어긋나지 않게 만드는 능력.,true
cap_backend_performance-scaling,backend,성능·확장,병목을 측정하고 캐시·비동기로 처리량을 늘리는 능력.,true
cap_backend_operability,backend,운영·장애 대응,배포와 관측을 갖추고 장애를 탐지·복구하는 능력.,true
cap_backend_collaboration-quality,backend,협업·품질,"테스트와 리뷰, 문서로 변경의 근거를 남기는 능력.",true
cap_frontend_ui-implementation,frontend,화면 구현,디자인 시안을 컴포넌트로 나누고 재사용 가능한 스타일 구조로 완성하는 능력.,true
cap_frontend_state-data-flow,frontend,상태·데이터 흐름 설계,서버 데이터와 화면 상태의 경계를 정하고 타입으로 규칙을 고정하는 능력.,true
cap_frontend_experience-quality,frontend,사용자 경험 품질,성능 지표와 접근성 기준을 측정해 실제 사용자의 체감을 끌어올리는 능력.,true
cap_frontend_frontend-engineering,frontend,프론트엔드 엔지니어링 기반,테스트와 빌드 도구로 변경을 안전하게 만들고 배포 산출물을 관리하는 능력.,true
cap_ai_engineer_model-training,ai_engineer,모델 학습·실험 관리,데이터를 받아 모델을 학습하고 결과를 지표로 비교해 다음 실험을 정하는 능력.,true
cap_ai_engineer_serving-ops,ai_engineer,모델 서빙·운영,학습한 모델을 호출 가능한 형태로 배포하고 지연·비용·품질을 관찰하는 능력.,true
cap_ai_engineer_llm-application,ai_engineer,LLM 응용 설계,검색 증강과 프롬프트 설계로 언어 모델을 제품 기능에 연결하는 능력.,true
cap_data_engineer_data-modeling,data_engineer,분석용 데이터 모델링,요구를 분석 가능한 테이블로 옮기고 집계 비용을 설명하는 능력.,true
cap_data_engineer_pipeline-engineering,data_engineer,배치 파이프라인 구축·운영,분산 배치를 짜고 DAG 로 묶어 실패까지 다루는 능력.,true
cap_data_engineer_stream-processing,data_engineer,실시간 수집·처리,이벤트 스트림을 받아 순서와 중복을 다루며 적재하는 능력.,true
cap_fullstack_feature-delivery,fullstack,기능 하나를 화면부터 서버까지 완성하기,화면·서버·데이터를 하나의 기능으로 잇고 동작하는 상태로 만드는 능력.,true
cap_fullstack_contract-design,fullstack,화면과 서버 사이 데이터 계약 설계하기,요청·응답 형태와 저장 구조를 정하고 양쪽이 어긋나지 않게 유지하는 능력.,true
cap_fullstack_ship-operate,fullstack,배포하고 운영 상태를 확인하기,직접 배포하고 로그·지표로 동작을 확인해 문제를 되돌리는 능력.,true
cap_devops_container-orchestration,devops,컨테이너 오케스트레이션 운영,컨테이너 워크로드를 클러스터에 올리고 트래픽 경로까지 책임지는 능력.,true
cap_devops_delivery-automation,devops,배포 자동화,빌드부터 배포까지를 코드로 선언하고 반복 가능하게 만드는 능력.,true
cap_devops_reliability-operations,devops,신뢰성 운영,지표로 상태를 읽고 장애를 탐지·복구해 재발을 막는 능력.,true
cap_mobile_app-build,mobile,앱 화면 구현,한 플랫폼에서 화면·입력·네비게이션을 갖춘 앱을 스스로 완성하는 능력.,true
cap_mobile_app-structure,mobile,앱 구조 설계와 서버 연동,화면과 로직을 분리하고 서버 연동의 성공·실패 흐름을 설계하는 능력.,true
cap_mobile_release-ops,mobile,릴리스·운영,앱을 스토어에 올리고 버전·호환·이슈를 관리하는 능력.,true
cap_security_vuln-diagnosis,security,취약점 진단과 보고,점검 절차에 따라 취약점을 확인하고 위험도와 조치 방안을 보고서로 전달하는 능력.,true
cap_security_incident-response,security,탐지와 사고 대응,보안 로그에서 이상 징후를 찾아내고 정해진 절차에 따라 대응하고 기록하는 능력.,true
cap_security_compliance-design,security,규제 준수 점검,개인정보 보호 법령과 관리체계 요구사항을 업무 절차로 옮기고 준수 여부를 점검하는 능력.,true
cap_game_client_gameplay-impl,game_client,엔진 기반 게임플레이 구현,선택한 엔진의 구조 위에서 조작·전투·UI 를 완성하고 플레이 가능한 빌드로 내보내는 능력.,true
cap_game_client_runtime-perf,game_client,런타임 성능 확보,목표 단말의 프레임 예산을 정하고 계측과 개선으로 그 예산을 지키는 능력.,true
cap_game_client_multiplay-sync,game_client,멀티플레이 동기화 이해,서버 상태와 화면의 차이를 보간·예측·보정으로 메우고 그 선택을 설명하는 능력.,true
