dimension_id,taxonomy_id,dimension_kind
dim_backend_java-spring,taxonomy_backend,technology
dim_backend_rdb-modeling,taxonomy_backend,technology
dim_backend_caching-performance,taxonomy_backend,technology
dim_backend_message-queue,taxonomy_backend,technology
dim_backend_rest-api-design,taxonomy_backend,practice
dim_backend_transaction-integrity,taxonomy_backend,practice
dim_backend_test-automation,taxonomy_backend,practice
dim_backend_monitoring-incident,taxonomy_backend,practice
dim_backend_container-deploy,taxonomy_backend,tooling
dim_backend_cloud-infra,taxonomy_backend,tooling
dim_backend_cicd-automation,taxonomy_backend,tooling
dim_backend_payment-settlement,taxonomy_backend,domain
dim_backend_service-domain-modeling,taxonomy_backend,domain
dim_backend_code-review-collab,taxonomy_backend,collaboration
dim_backend_tech-documentation,taxonomy_backend,collaboration
dim_frontend_react-component,taxonomy_frontend,technology
dim_frontend_typescript-typing,taxonomy_frontend,technology
dim_frontend_state-management,taxonomy_frontend,practice
dim_frontend_css-architecture,taxonomy_frontend,practice
dim_frontend_web-performance,taxonomy_frontend,practice
dim_frontend_web-accessibility,taxonomy_frontend,practice
dim_frontend_frontend-testing,taxonomy_frontend,practice
dim_frontend_bundling-build,taxonomy_frontend,tooling
dim_ai_engineer_python,taxonomy_ai_engineer,technology
dim_ai_engineer_dl-framework,taxonomy_ai_engineer,technology
dim_ai_engineer_llm-app,taxonomy_ai_engineer,technology
dim_ai_engineer_data-prep,taxonomy_ai_engineer,practice
dim_ai_engineer_model-serving,taxonomy_ai_engineer,tooling
dim_data_engineer_sql-analytics,taxonomy_data_engineer,technology
dim_data_engineer_spark-batch,taxonomy_data_engineer,technology
dim_data_engineer_workflow-orchestration,taxonomy_data_engineer,tooling
dim_data_engineer_data-warehouse,taxonomy_data_engineer,technology
dim_data_engineer_streaming-ingest,taxonomy_data_engineer,technology
dim_fullstack_node-typescript,taxonomy_fullstack,technology
dim_fullstack_react-ui,taxonomy_fullstack,technology
dim_fullstack_rest-api,taxonomy_fullstack,practice
dim_fullstack_rdb-modeling,taxonomy_fullstack,technology
dim_fullstack_cloud-deploy,taxonomy_fullstack,practice
dim_devops_kubernetes,taxonomy_devops,technology
dim_devops_iac-terraform,taxonomy_devops,tooling
dim_devops_cicd-pipeline,taxonomy_devops,tooling
dim_devops_observability,taxonomy_devops,practice
dim_devops_cloud-network,taxonomy_devops,technology
dim_mobile_kotlin-android,taxonomy_mobile,technology
dim_mobile_swift-ios,taxonomy_mobile,technology
dim_mobile_app-architecture,taxonomy_mobile,practice
dim_mobile_network-api,taxonomy_mobile,technology
dim_mobile_store-release,taxonomy_mobile,tooling
dim_security_web-vuln-assessment,taxonomy_security,practice
dim_security_soc-siem,taxonomy_security,tooling
dim_security_network-security,taxonomy_security,technology
dim_security_privacy-compliance,taxonomy_security,domain
dim_security_secure-coding,taxonomy_security,practice
dim_game_client_unity-csharp,taxonomy_game_client,technology
dim_game_client_unreal-cpp,taxonomy_game_client,technology
dim_game_client_graphics-opt,taxonomy_game_client,practice
dim_game_client_game-math,taxonomy_game_client,domain
dim_game_client_net-sync,taxonomy_game_client,practice
