# 법인 프로필 — 세법상 한도·특례 스위치를 전부 결정한다. (종이책: 별지1 표지 + 중소기업 기준검토표)
# 값은 그대로 두지 말고 실제 법인 값으로 바꿀 것. 아래는 형식 예시.
key,value
사업연도개시일,2025-01-01
사업연도종료일,2025-12-31
중소기업,true
부동산임대업주업,true
상시근로자수,1
지배주주지분율,100
# ── 별지3 계산 입력 (종이책의 해당 명세서에서) ──
# 기납부세액: 원천납부세액명세서 + 중간예납. 이월결손금: 자본금과적립금(갑)표.
기납부세액,140000
이월결손금,0
공제감면세액,0
가산세,0
기부금한도초과,0
# ── 기업업무추진비 한도계산 입력 (별지 제23호. 종이책 조정후수입금액명세서·기업업무추진비명세서) ──
# 한도초과 판정은 엔진이 자동 계산한다. 적격증빙없는금액만 사람이 입력(건별 증빙유형 태그가
# 없어 한도와 무관한 부분은 자동 판정 불가 — plans/PLAN-4-세무조정.md R2).
수입금액,156000000
기업업무추진비_증빙불비금액,500000
