relation_id,taxonomy_version_id,src_dimension_id,dst_dimension_id,relation_type
rel_backend_01,tx_demo_backend,dim_backend_cloud-infra,dim_backend_container-deploy,narrower
rel_backend_02,tx_demo_backend,dim_backend_container-deploy,dim_backend_cloud-infra,broader
rel_backend_03,tx_demo_backend,dim_backend_cloud-infra,dim_backend_cicd-automation,narrower
rel_backend_04,tx_demo_backend,dim_backend_transaction-integrity,dim_backend_rdb-modeling,related
rel_backend_05,tx_demo_backend,dim_backend_caching-performance,dim_backend_message-queue,related
rel_backend_06,tx_demo_backend,dim_backend_payment-settlement,dim_backend_transaction-integrity,related
rel_backend_07,tx_demo_backend,dim_backend_java-spring,dim_backend_rest-api-design,related
rel_backend_08,tx_demo_backend,dim_backend_tech-documentation,dim_backend_code-review-collab,related
rel_frontend_01,tx_demo_frontend,dim_frontend_react-component,dim_frontend_state-management,narrower
rel_frontend_02,tx_demo_frontend,dim_frontend_state-management,dim_frontend_react-component,broader
rel_frontend_03,tx_demo_frontend,dim_frontend_react-component,dim_frontend_typescript-typing,related
rel_frontend_04,tx_demo_frontend,dim_frontend_web-performance,dim_frontend_bundling-build,related
rel_frontend_05,tx_demo_frontend,dim_frontend_web-accessibility,dim_frontend_css-architecture,related
rel_frontend_06,tx_demo_frontend,dim_frontend_css-architecture,dim_frontend_react-component,related
rel_frontend_07,tx_demo_frontend,dim_frontend_frontend-testing,dim_frontend_react-component,related
rel_frontend_08,tx_demo_frontend,dim_frontend_web-performance,dim_frontend_react-component,related
rel_ai_engineer_01,tx_demo_ai_engineer,dim_ai_engineer_python,dim_ai_engineer_dl-framework,related
rel_ai_engineer_02,tx_demo_ai_engineer,dim_ai_engineer_python,dim_ai_engineer_data-prep,related
rel_ai_engineer_03,tx_demo_ai_engineer,dim_ai_engineer_dl-framework,dim_ai_engineer_model-serving,related
rel_ai_engineer_04,tx_demo_ai_engineer,dim_ai_engineer_llm-app,dim_ai_engineer_data-prep,related
rel_ai_engineer_05,tx_demo_ai_engineer,dim_ai_engineer_llm-app,dim_ai_engineer_model-serving,related
rel_data_engineer_01,tx_demo_data_engineer,dim_data_engineer_sql-analytics,dim_data_engineer_data-warehouse,related
rel_data_engineer_02,tx_demo_data_engineer,dim_data_engineer_spark-batch,dim_data_engineer_workflow-orchestration,related
rel_data_engineer_03,tx_demo_data_engineer,dim_data_engineer_streaming-ingest,dim_data_engineer_spark-batch,related
rel_data_engineer_04,tx_demo_data_engineer,dim_data_engineer_data-warehouse,dim_data_engineer_sql-analytics,related
rel_fullstack_1,tx_demo_fullstack,dim_fullstack_react-ui,dim_fullstack_rest-api,related
rel_fullstack_2,tx_demo_fullstack,dim_fullstack_node-typescript,dim_fullstack_rest-api,related
rel_fullstack_3,tx_demo_fullstack,dim_fullstack_rest-api,dim_fullstack_rdb-modeling,related
rel_fullstack_4,tx_demo_fullstack,dim_fullstack_node-typescript,dim_fullstack_cloud-deploy,related
rel_devops_01,tx_demo_devops,dim_devops_kubernetes,dim_devops_cloud-network,related
rel_devops_02,tx_demo_devops,dim_devops_kubernetes,dim_devops_observability,related
rel_devops_03,tx_demo_devops,dim_devops_cicd-pipeline,dim_devops_iac-terraform,related
rel_devops_04,tx_demo_devops,dim_devops_iac-terraform,dim_devops_cloud-network,related
rel_mobile_01,tx_demo_mobile,dim_mobile_kotlin-android,dim_mobile_app-architecture,related
rel_mobile_02,tx_demo_mobile,dim_mobile_swift-ios,dim_mobile_app-architecture,related
rel_mobile_03,tx_demo_mobile,dim_mobile_app-architecture,dim_mobile_network-api,related
rel_mobile_04,tx_demo_mobile,dim_mobile_kotlin-android,dim_mobile_store-release,related
rel_mobile_05,tx_demo_mobile,dim_mobile_swift-ios,dim_mobile_store-release,related
rel_security_01,tx_demo_security,dim_security_soc-siem,dim_security_network-security,related
rel_security_02,tx_demo_security,dim_security_network-security,dim_security_soc-siem,related
rel_security_03,tx_demo_security,dim_security_web-vuln-assessment,dim_security_secure-coding,related
rel_security_04,tx_demo_security,dim_security_secure-coding,dim_security_web-vuln-assessment,related
rel_security_05,tx_demo_security,dim_security_privacy-compliance,dim_security_web-vuln-assessment,related
rel_game_client_01,tx_demo_game_client,dim_game_client_unity-csharp,dim_game_client_graphics-opt,related
rel_game_client_02,tx_demo_game_client,dim_game_client_unreal-cpp,dim_game_client_graphics-opt,related
rel_game_client_03,tx_demo_game_client,dim_game_client_game-math,dim_game_client_net-sync,related
rel_game_client_04,tx_demo_game_client,dim_game_client_unity-csharp,dim_game_client_game-math,related
rel_game_client_05,tx_demo_game_client,dim_game_client_unreal-cpp,dim_game_client_game-math,related
