fact_id,analysis_version,metric_family,metric_policy_version,scope_level,scope_id,entry_segment,period_id,dimension_id,secondary_dimension_id,measure,numerator,denominator,value,sample_size,sample_status,uncertainty
fact_demo_backend_000001,an_demo_backend,posting_prevalence,mp_v1_prevalence,overall,backend,all,y2026,dim_backend_java-spring,\N,ratio,9,9,1.0,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.700855, ""upper"": 1.0}"
fact_demo_backend_000002,an_demo_backend,requiredness_ratio,mp_v1_requiredness,overall,backend,all,y2026,dim_backend_java-spring,\N,ratio,9,9,1.0,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.700855, ""upper"": 1.0}"
fact_demo_backend_000003,an_demo_backend,depth_distribution,mp_v1_depth,overall,backend,all,y2026,dim_backend_java-spring,\N,foundation,1,9,0.111111,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.019891, ""upper"": 0.435}"
fact_demo_backend_000004,an_demo_backend,depth_distribution,mp_v1_depth,overall,backend,all,y2026,dim_backend_java-spring,\N,application,8,9,0.888889,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.565, ""upper"": 0.980109}"
fact_demo_backend_000005,an_demo_backend,depth_distribution,mp_v1_depth,overall,backend,all,y2026,dim_backend_java-spring,\N,tradeoff,0,9,0.0,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.0, ""upper"": 0.299145}"
fact_demo_backend_000006,an_demo_backend,posting_prevalence,mp_v1_prevalence,overall,backend,all,y2026,dim_backend_rdb-modeling,\N,ratio,9,9,1.0,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.700855, ""upper"": 1.0}"
fact_demo_backend_000007,an_demo_backend,requiredness_ratio,mp_v1_requiredness,overall,backend,all,y2026,dim_backend_rdb-modeling,\N,ratio,8,9,0.888889,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.565, ""upper"": 0.980109}"
fact_demo_backend_000008,an_demo_backend,depth_distribution,mp_v1_depth,overall,backend,all,y2026,dim_backend_rdb-modeling,\N,foundation,1,9,0.111111,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.019891, ""upper"": 0.435}"
fact_demo_backend_000009,an_demo_backend,depth_distribution,mp_v1_depth,overall,backend,all,y2026,dim_backend_rdb-modeling,\N,application,6,9,0.666667,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.354202, ""upper"": 0.879416}"
fact_demo_backend_000010,an_demo_backend,depth_distribution,mp_v1_depth,overall,backend,all,y2026,dim_backend_rdb-modeling,\N,tradeoff,2,9,0.222222,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.063225, ""upper"": 0.547411}"
fact_demo_backend_000011,an_demo_backend,posting_prevalence,mp_v1_prevalence,overall,backend,all,y2026,dim_backend_caching-performance,\N,ratio,7,9,0.777778,9,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.452589, ""upper"": 0.936775}"
fact_demo_backend_000012,an_demo_backend,requiredness_ratio,mp_v1_requiredness,overall,backend,all,y2026,dim_backend_caching-performance,\N,ratio,3,7,0.428571,7,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.15822, ""upper"": 0.749542}"
fact_demo_backend_000013,an_demo_backend,depth_distribution,mp_v1_depth,overall,backend,all,y2026,dim_backend_caching-performance,\N,foundation,1,7,0.142857,7,analysis_ready,"{""method"": ""wilson_95"", ""lower"": 0.02568, ""upper"": 0.513128}"
