concept_id,job_role_id,canonical_title,kind
cc_backend_crud-api,backend,CRUD REST API 프로젝트,project
cc_backend_rdb-schema,backend,RDB 설계·쿼리 기본기,project
cc_backend_error-handling,backend,예외·에러 응답 설계,project
cc_backend_tx-integrity,backend,트랜잭션·동시성 심화,project
cc_backend_performance,backend,부하 측정·성능 개선,project
cc_backend_deploy-pipeline,backend,배포 파이프라인 구성,project
cc_backend_event-pipeline,backend,이벤트 처리 경험,project
cc_backend_incident-recovery,backend,장애·복구 대응 경험,story
cc_backend_collab-story,backend,협업 문제 해결 서사,story
cc_backend_test-habit,backend,테스트 작성 습관,project
cc_backend_docs-habit,backend,기술 문서화 습관,project
cc_backend_domain-study,backend,도메인 이해 정리,study
cc_backend_cs-basics,backend,CS 기본기 — 네트워크·운영체제,study
cc_backend_spring-internals,backend,Spring 동작 원리,study
cc_frontend_spa-project,frontend,React 화면 프로젝트 완성,project
cc_frontend_ts-typing,frontend,TypeScript 타입 설계 경험,project
cc_frontend_state-design,frontend,상태·데이터 흐름 설계,project
cc_frontend_css-system,frontend,공통 컴포넌트·스타일 체계,project
cc_frontend_perf-budget,frontend,성능 측정·개선 기록,project
cc_frontend_a11y-audit,frontend,접근성 점검·개선 기록,project
cc_frontend_test-habit,frontend,컴포넌트 테스트 습관,project
cc_frontend_build-tuning,frontend,빌드·번들 최적화 경험,project
cc_frontend_collab-story,frontend,디자이너·기획 협업 서사,story
cc_frontend_release-story,frontend,배포하고 고쳐 본 오너십 서사,story
cc_frontend_render-theory,frontend,브라우저 렌더링 원리 학습,study
cc_frontend_ts-type-theory,frontend,타입 시스템 심화 학습,study
cc_frontend_a11y-standard-study,frontend,웹 접근성 지침 학습,study
cc_ai_engineer_python-data,ai_engineer,데이터 처리 파이프라인,project
cc_ai_engineer_dl-training,ai_engineer,모델 학습·평가 루프 구현,project
cc_ai_engineer_eval-harness,ai_engineer,평가 세트와 정량 비교,project
cc_ai_engineer_serving-api,ai_engineer,모델 서빙 API,project
cc_ai_engineer_rag-quality,ai_engineer,검색 증강 응용 구현,project
cc_ai_engineer_exp-repro,ai_engineer,실험 기록·재현성,project
cc_ai_engineer_infra-cost,ai_engineer,지연·비용 측정,project
cc_ai_engineer_git-collab,ai_engineer,협업·결과 공유 서사,story
cc_ai_engineer_ml-basics,ai_engineer,머신러닝 기본 개념,study
cc_ai_engineer_llm-theory,ai_engineer,LLM 동작 원리,study
cc_ai_engineer_vector-search,ai_engineer,벡터 검색 이론,study
cc_data_engineer_batch-pipeline,data_engineer,배치 파이프라인 프로젝트,project
cc_data_engineer_sql-tuning,data_engineer,SQL 집계와 실행 계획,project
cc_data_engineer_airflow-dag,data_engineer,DAG 스케줄 운영,project
cc_data_engineer_warehouse-modeling,data_engineer,웨어하우스 테이블 모델링,project
cc_data_engineer_data-quality,data_engineer,데이터 품질 검증 절차,project
cc_data_engineer_failure-recovery,data_engineer,실패·재처리 운영 기록,story
cc_data_engineer_distributed-basics,data_engineer,분산 처리 원리,study
cc_data_engineer_modeling-theory,data_engineer,차원 모델링 이론,study
cc_data_engineer_spark-optimize,data_engineer,분산 배치 병목 개선,project
cc_data_engineer_streaming-pipeline,data_engineer,스트리밍 수집 구현,project
cc_data_engineer_stream-semantics,data_engineer,스트리밍 시맨틱스,study
