# 손익계산서 입력 양식 — 종이책의 손익계산서를 보고 [금액] 칸만 채우세요.
# · 없는 과목은 비워두세요. [구분]은 이미 채워져 있습니다 (수익 / 비용).
# · [대분류]는 사람이 보기 편하라고 있는 것 — 계산엔 [구분]과 [금액]만 씁니다.
# · 당기순이익 = 수익 합계 − 비용 합계 (법인세비용 포함). 이 값이 별지3의 첫 줄이 됩니다.
# · 여기 없는 과목은 아래에 추가하세요 (전체 목록: data/계정과목-카탈로그.md).
대분류,계정,구분,금액
매출액,임대료수입,수익,
매출액,상품매출,수익,
매출액,제품매출,수익,
매출원가,상품매출원가,비용,
판매비와관리비,급여,비용,
판매비와관리비,상여금,비용,
판매비와관리비,퇴직급여,비용,
판매비와관리비,복리후생비,비용,
판매비와관리비,여비교통비,비용,
판매비와관리비,기업업무추진비,비용,
판매비와관리비,통신비,비용,
판매비와관리비,수도광열비,비용,
판매비와관리비,세금과공과,비용,
판매비와관리비,감가상각비,비용,
판매비와관리비,임차료,비용,
판매비와관리비,수선비,비용,
판매비와관리비,보험료,비용,
판매비와관리비,차량유지비,비용,
판매비와관리비,지급수수료,비용,
판매비와관리비,광고선전비,비용,
판매비와관리비,대손상각비,비용,
판매비와관리비,소모품비,비용,
영업외수익,이자수익,수익,
영업외수익,배당금수익,수익,
영업외수익,유형자산처분이익,수익,
영업외수익,잡이익,수익,
영업외비용,이자비용,비용,
영업외비용,기부금,비용,
영업외비용,유형자산처분손실,비용,
영업외비용,잡손실,비용,
법인세비용,법인세비용,비용,
