# 법인 프로필 입력 양식 — [value] 칸만 채우세요. [설명] 열은 안내용이라 계산에 안 씁니다.
# (종이책 출처: 별지1 표지 + 중소기업 기준검토표)
key,value,설명
사업연도개시일,,예: 2024-01-01
사업연도종료일,,예: 2024-12-31
중소기업,,true 또는 false (중소기업 기준검토표 판정 결과)
부동산임대업주업,,true/false — 소규모 임대법인 특례 판정용
상시근로자수,,숫자
지배주주지분율,,숫자(%) 지배주주+특수관계자 지분
기납부세액,,원천납부세액명세서+중간예납 (없으면 0)
이월결손금,,자본금과적립금(갑)표 이월결손금 잔액 (없으면 0)
공제감면세액,,세액공제·감면 합계 (없으면 0)
가산세,,없으면 0
기부금한도초과,,없으면 0
수입금액,,조정후수입금액명세서. 채우면 기업업무추진비 한도를 엔진이 자동 계산(비우면 미계산)
기업업무추진비_증빙불비금액,,건당 3만원 초과인데 적격증빙(카드·세금계산서 등) 없는 지출액 합계 (없으면 0)
# ── 업무용승용차 한도 (있으면 cars.csv도 채울 것 — 별지 제29호) ──
# cars.csv 파일 자체가 없으면 승용차 한도 계산은 생략된다(하위호환).
