result_id,analysis_version,target_type,target_id,check_name,autonomy_level,verdict,severity,reason_code,repair_action,judge_model,detail
vr_demo_backend_01,an_demo_backend,analysis_version,an_demo_backend,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_backend_02,an_demo_backend,analysis_version,an_demo_backend,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_backend_03,an_demo_backend,analysis_version,an_demo_backend,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_backend_04,an_demo_backend,analysis_version,an_demo_backend,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_backend_05,an_demo_backend,analysis_version,an_demo_backend,claim_evidence_entailment,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_backend_06,an_demo_backend,analysis_version,an_demo_backend,cross_model_sample_audit,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_backend_07,an_demo_backend,analysis_version,an_demo_backend,contradiction_detector,A0,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_frontend_01,an_demo_frontend,analysis_version,an_demo_frontend,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""status"": ""checked"", ""targets"": 27}"
vr_demo_frontend_02,an_demo_frontend,analysis_version,an_demo_frontend,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""status"": ""checked"", ""targets"": 27}"
vr_demo_frontend_03,an_demo_frontend,analysis_version,an_demo_frontend,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""status"": ""checked"", ""targets"": 27}"
vr_demo_frontend_04,an_demo_frontend,analysis_version,an_demo_frontend,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""status"": ""checked"", ""targets"": 27}"
vr_demo_frontend_05,an_demo_frontend,analysis_version,an_demo_frontend,claim_evidence_entailment,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 적용 대상이 아니다"", ""status"": ""not_applicable"", ""targets"": 27}"
vr_demo_frontend_06,an_demo_frontend,analysis_version,an_demo_frontend,cross_model_sample_audit,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 적용 대상이 아니다"", ""status"": ""not_applicable"", ""targets"": 27}"
vr_demo_frontend_07,an_demo_frontend,analysis_version,an_demo_frontend,contradiction_detector,A0,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 적용 대상이 아니다"", ""status"": ""not_applicable"", ""targets"": 27}"
vr_demo_ai_engineer_01,an_demo_ai_engineer,analysis_version,an_demo_ai_engineer,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_ai_engineer_02,an_demo_ai_engineer,analysis_version,an_demo_ai_engineer,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_ai_engineer_03,an_demo_ai_engineer,analysis_version,an_demo_ai_engineer,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_ai_engineer_04,an_demo_ai_engineer,analysis_version,an_demo_ai_engineer,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_ai_engineer_05,an_demo_ai_engineer,analysis_version,an_demo_ai_engineer,claim_evidence_entailment,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_ai_engineer_06,an_demo_ai_engineer,analysis_version,an_demo_ai_engineer,cross_model_sample_audit,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_ai_engineer_07,an_demo_ai_engineer,analysis_version,an_demo_ai_engineer,contradiction_detector,A0,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_data_engineer_01,an_demo_data_engineer,analysis_version,an_demo_data_engineer,schema_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_data_engineer_02,an_demo_data_engineer,analysis_version,an_demo_data_engineer,source_policy_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_data_engineer_03,an_demo_data_engineer,analysis_version,an_demo_data_engineer,citation_span_validator,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_data_engineer_04,an_demo_data_engineer,analysis_version,an_demo_data_engineer,numerical_consistency,A0,pass,info,\N,\N,\N,"{""note"": ""생성 시드가 자기검사로 확인했다"", ""targets"": 27}"
vr_demo_data_engineer_05,an_demo_data_engineer,analysis_version,an_demo_data_engineer,claim_evidence_entailment,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_data_engineer_06,an_demo_data_engineer,analysis_version,an_demo_data_engineer,cross_model_sample_audit,A1,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_data_engineer_07,an_demo_data_engineer,analysis_version,an_demo_data_engineer,contradiction_detector,A0,skip,info,CHECK_NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행하지 않았다"", ""targets"": 27}"
vr_demo_fullstack_01,an_demo_fullstack,analysis_version,an_demo_fullstack,check_1_schema,A0,pass,info,\N,\N,\N,"{""note"": ""생성 데이터에서 결정적으로 재계산해 통과했다""}"
vr_demo_fullstack_02,an_demo_fullstack,analysis_version,an_demo_fullstack,check_2_source_policy,A0,pass,info,\N,\N,\N,"{""note"": ""생성 데이터에서 결정적으로 재계산해 통과했다""}"
vr_demo_fullstack_03,an_demo_fullstack,analysis_version,an_demo_fullstack,check_3_evidence_span,A0,pass,info,\N,\N,\N,"{""note"": ""생성 데이터에서 결정적으로 재계산해 통과했다""}"
vr_demo_fullstack_04,an_demo_fullstack,analysis_version,an_demo_fullstack,check_4_numeric_recompute,A0,pass,info,\N,\N,\N,"{""note"": ""생성 데이터에서 결정적으로 재계산해 통과했다""}"
vr_demo_fullstack_05,an_demo_fullstack,analysis_version,an_demo_fullstack,check_5_entailment,A1,skip,info,NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행 대상이 아니다""}"
vr_demo_fullstack_06,an_demo_fullstack,analysis_version,an_demo_fullstack,check_6_cross_model_audit,A1,skip,info,NOT_APPLICABLE,\N,\N,"{""note"": ""판정자를 주입하지 않아 실행 대상이 아니다""}"
