chunk_id,snapshot_id,section,ordinal,text,context,embedding_text,token_count,dataset_version
chunk_demo_backend_01_1,snap_demo_backend_01,주요업무,0,"결제·정산 서비스의 서버 API를 설계하고 개발합니다.
거래 데이터를 처리하는 정산 배치와 재처리 로직을 개발합니다.
서비스 지표와 장애 알림을 확인하고 대응합니다.
유관 부서와 정산 정책을 협의하고 요구사항을 반영합니다.","{""source_id"": ""src_demo_backend_01"", ""source_type"": ""job_posting"", ""publisher"": ""비바리퍼블리카"", ""company_id"": ""co_viva"", ""job_role_ids"": [""backend""], ""section"": ""주요업무""}","비바리퍼블리카 · job_posting · 주요업무
결제·정산 서비스의 서버 API를 설계하고 개발합니다.
거래 데이터를 처리하는 정산 배치와 재처리 로직을 개발합니다.
서비스 지표와 장애 알림을 확인하고 대응합니다.
유관 부서와 정산 정책을 협의하고 요구사항을 반영합니다.",57,ds_demo_v1
chunk_demo_backend_01_2,snap_demo_backend_01,자격요건,1,"Java와 Spring Boot로 서버를 개발한 경험이 있으신 분
관계형 데이터베이스 모델링과 쿼리 작성에 익숙하신 분
대용량 트랜잭션을 정확하게 처리하는 데 필요한 개념을 설명할 수 있는 분
REST API 설계와 예외 처리 경험이 있으신 분
Git 기반 협업과 코드리뷰가 익숙하신 분","{""source_id"": ""src_demo_backend_01"", ""source_type"": ""job_posting"", ""publisher"": ""비바리퍼블리카"", ""company_id"": ""co_viva"", ""job_role_ids"": [""backend""], ""section"": ""자격요건""}","비바리퍼블리카 · job_posting · 자격요건
Java와 Spring Boot로 서버를 개발한 경험이 있으신 분
관계형 데이터베이스 모델링과 쿼리 작성에 익숙하신 분
대용량 트랜잭션을 정확하게 처리하는 데 필요한 개념을 설명할 수 있는 분
REST API 설계와 예외 처리 경험이 있으신 분
Git 기반 협업과 코드리뷰가 익숙하신 분",73,ds_demo_v1
chunk_demo_backend_01_3,snap_demo_backend_01,우대사항,2,"장애 상황에서 데이터 정합성을 지키는 방법을 고민해 보신 분
Redis 등 캐시를 사용해 조회 성능을 개선해 보신 분
Kafka 등 메시지 큐로 이벤트를 처리해 보신 분
결제·정산 등 금융 도메인에 관심이 있으신 분
테스트 코드를 습관처럼 작성하시는 분","{""source_id"": ""src_demo_backend_01"", ""source_type"": ""job_posting"", ""publisher"": ""비바리퍼블리카"", ""company_id"": ""co_viva"", ""job_role_ids"": [""backend""], ""section"": ""우대사항""}","비바리퍼블리카 · job_posting · 우대사항
장애 상황에서 데이터 정합성을 지키는 방법을 고민해 보신 분
Redis 등 캐시를 사용해 조회 성능을 개선해 보신 분
Kafka 등 메시지 큐로 이벤트를 처리해 보신 분
결제·정산 등 금융 도메인에 관심이 있으신 분
테스트 코드를 습관처럼 작성하시는 분",65,ds_demo_v1
chunk_demo_backend_02_1,snap_demo_backend_02,주요업무,0,"대규모 트래픽을 받는 서비스 API를 개발하고 운영합니다.
캐시와 비동기 처리를 활용해 응답 지연을 줄입니다.
서비스 지표를 수집하고 장애를 탐지·대응합니다.
코드리뷰를 통해 팀의 코드 품질을 함께 관리합니다.","{""source_id"": ""src_demo_backend_02"", ""source_type"": ""job_posting"", ""publisher"": ""카카오"", ""company_id"": ""co_kakao"", ""job_role_ids"": [""backend""], ""section"": ""주요업무""}","카카오 · job_posting · 주요업무
대규모 트래픽을 받는 서비스 API를 개발하고 운영합니다.
캐시와 비동기 처리를 활용해 응답 지연을 줄입니다.
서비스 지표를 수집하고 장애를 탐지·대응합니다.
코드리뷰를 통해 팀의 코드 품질을 함께 관리합니다.",54,ds_demo_v1
chunk_demo_backend_02_2,snap_demo_backend_02,자격요건,1,"Java 또는 Kotlin과 Spring 프레임워크에 익숙하신 분
RDBMS 스키마 설계와 인덱스 튜닝을 해 보신 분
대용량 트래픽 환경에서 성능을 개선해 본 경험이 있으신 분
REST API 설계 원칙을 이해하고 적용하실 수 있는 분
단위 테스트를 작성해 보신 분","{""source_id"": ""src_demo_backend_02"", ""source_type"": ""job_posting"", ""publisher"": ""카카오"", ""company_id"": ""co_kakao"", ""job_role_ids"": [""backend""], ""section"": ""자격요건""}","카카오 · job_posting · 자격요건
Java 또는 Kotlin과 Spring 프레임워크에 익숙하신 분
RDBMS 스키마 설계와 인덱스 튜닝을 해 보신 분
대용량 트래픽 환경에서 성능을 개선해 본 경험이 있으신 분
REST API 설계 원칙을 이해하고 적용하실 수 있는 분
단위 테스트를 작성해 보신 분",68,ds_demo_v1
chunk_demo_backend_02_3,snap_demo_backend_02,우대사항,2,"Kafka 기반 이벤트 파이프라인을 다뤄 보신 분
Docker와 Kubernetes로 서비스를 배포해 보신 분
AWS 등 클라우드 환경 운영 경험이 있으신 분
기술 문서를 꾸준히 남기신 분","{""source_id"": ""src_demo_backend_02"", ""source_type"": ""job_posting"", ""publisher"": ""카카오"", ""company_id"": ""co_kakao"", ""job_role_ids"": [""backend""], ""section"": ""우대사항""}","카카오 · job_posting · 우대사항
Kafka 기반 이벤트 파이프라인을 다뤄 보신 분
Docker와 Kubernetes로 서비스를 배포해 보신 분
AWS 등 클라우드 환경 운영 경험이 있으신 분
기술 문서를 꾸준히 남기신 분",48,ds_demo_v1
chunk_demo_backend_03_1,snap_demo_backend_03,주요업무,0,"B2B 고객사가 사용하는 제품 API를 설계하고 개발합니다.
고객사별 데이터 모델을 확장하고 마이그레이션을 수행합니다.
API 명세와 변경 이력을 문서로 관리합니다.
장애 알림을 받고 원인을 추적해 재발을 막습니다.","{""source_id"": ""src_demo_backend_03"", ""source_type"": ""job_posting"", ""publisher"": ""주식회사 채널코퍼레이션"", ""company_id"": ""co_channelcorp"", ""job_role_ids"": [""backend""], ""section"": ""주요업무""}","주식회사 채널코퍼레이션 · job_posting · 주요업무
B2B 고객사가 사용하는 제품 API를 설계하고 개발합니다.
고객사별 데이터 모델을 확장하고 마이그레이션을 수행합니다.
API 명세와 변경 이력을 문서로 관리합니다.
장애 알림을 받고 원인을 추적해 재발을 막습니다.",55,ds_demo_v1
chunk_demo_backend_03_2,snap_demo_backend_03,자격요건,1,"Java·Spring 또는 동등한 서버 스택 개발 경험이 있으신 분
관계형 데이터베이스 설계와 쿼리 최적화 경험이 있으신 분
REST API를 설계하고 하위 호환을 고려해 변경해 보신 분
테스트 코드로 회귀를 막아 본 경험이 있으신 분
동료와 코드리뷰로 협업해 보신 분","{""source_id"": ""src_demo_backend_03"", ""source_type"": ""job_posting"", ""publisher"": ""주식회사 채널코퍼레이션"", ""company_id"": ""co_channelcorp"", ""job_role_ids"": [""backend""], ""section"": ""자격요건""}","주식회사 채널코퍼레이션 · job_posting · 자격요건
Java·Spring 또는 동등한 서버 스택 개발 경험이 있으신 분
관계형 데이터베이스 설계와 쿼리 최적화 경험이 있으신 분
REST API를 설계하고 하위 호환을 고려해 변경해 보신 분
테스트 코드로 회귀를 막아 본 경험이 있으신 분
동료와 코드리뷰로 협업해 보신 분",69,ds_demo_v1
chunk_demo_backend_03_3,snap_demo_backend_03,우대사항,2,"API 문서와 변경 가이드를 직접 작성해 보신 분
CI/CD 파이프라인을 구성해 보신 분
Docker 기반 개발 환경을 다뤄 보신 분
제품 도메인을 모델로 옮기는 설계에 관심이 있으신 분","{""source_id"": ""src_demo_backend_03"", ""source_type"": ""job_posting"", ""publisher"": ""주식회사 채널코퍼레이션"", ""company_id"": ""co_channelcorp"", ""job_role_ids"": [""backend""], ""section"": ""우대사항""}","주식회사 채널코퍼레이션 · job_posting · 우대사항
API 문서와 변경 가이드를 직접 작성해 보신 분
CI/CD 파이프라인을 구성해 보신 분
Docker 기반 개발 환경을 다뤄 보신 분
제품 도메인을 모델로 옮기는 설계에 관심이 있으신 분",48,ds_demo_v1
chunk_demo_backend_04_1,snap_demo_backend_04,주요업무,0,"지역 커뮤니티 서비스의 도메인 로직과 API를 개발합니다.
서비스 성장에 맞춰 데이터 모델과 쿼리를 개선합니다.
배포 파이프라인과 운영 환경을 팀이 직접 관리합니다.
제품 팀과 함께 문제를 정의하고 빠르게 실험합니다.","{""source_id"": ""src_demo_backend_04"", ""source_type"": ""job_posting"", ""publisher"": ""주식회사 당근마켓"", ""company_id"": ""co_daangn"", ""job_role_ids"": [""backend""], ""section"": ""주요업무""}","주식회사 당근마켓 · job_posting · 주요업무
지역 커뮤니티 서비스의 도메인 로직과 API를 개발합니다.
서비스 성장에 맞춰 데이터 모델과 쿼리를 개선합니다.
배포 파이프라인과 운영 환경을 팀이 직접 관리합니다.
제품 팀과 함께 문제를 정의하고 빠르게 실험합니다.",55,ds_demo_v1
chunk_demo_backend_04_2,snap_demo_backend_04,자격요건,1,"Java·Kotlin 또는 Go 기반 서버 개발 경험이 있으신 분
REST API 설계와 운영 경험이 있으신 분
직접 배포하고 운영까지 책임져 보신 분
관계형 데이터베이스 성능 문제를 해결해 보신 분
동시성 문제를 다뤄 보신 분","{""source_id"": ""src_demo_backend_04"", ""source_type"": ""job_posting"", ""publisher"": ""주식회사 당근마켓"", ""company_id"": ""co_daangn"", ""job_role_ids"": [""backend""], ""section"": ""자격요건""}","주식회사 당근마켓 · job_posting · 자격요건
Java·Kotlin 또는 Go 기반 서버 개발 경험이 있으신 분
REST API 설계와 운영 경험이 있으신 분
직접 배포하고 운영까지 책임져 보신 분
관계형 데이터베이스 성능 문제를 해결해 보신 분
동시성 문제를 다뤄 보신 분",58,ds_demo_v1
chunk_demo_backend_04_3,snap_demo_backend_04,우대사항,2,"Docker·Kubernetes 환경을 운영해 보신 분
모니터링 지표를 직접 설계해 보신 분
캐시로 조회 성능을 개선해 보신 분
테스트 자동화를 도입해 보신 분","{""source_id"": ""src_demo_backend_04"", ""source_type"": ""job_posting"", ""publisher"": ""주식회사 당근마켓"", ""company_id"": ""co_daangn"", ""job_role_ids"": [""backend""], ""section"": ""우대사항""}","주식회사 당근마켓 · job_posting · 우대사항
Docker·Kubernetes 환경을 운영해 보신 분
모니터링 지표를 직접 설계해 보신 분
캐시로 조회 성능을 개선해 보신 분
테스트 자동화를 도입해 보신 분",41,ds_demo_v1
chunk_demo_backend_05_1,snap_demo_backend_05,주요업무,0,"게임 플랫폼의 실시간 요청을 처리하는 서버를 개발합니다.
동시 접속 급증 상황에서도 안정적인 처리 구조를 설계합니다.
이벤트 메시지를 처리하는 파이프라인을 운영합니다.
장애를 탐지하고 원인을 분석해 재발을 막습니다.","{""source_id"": ""src_demo_backend_05"", ""source_type"": ""job_posting"", ""publisher"": ""크래프톤"", ""company_id"": ""co_krafton"", ""job_role_ids"": [""backend""], ""section"": ""주요업무""}","크래프톤 · job_posting · 주요업무
게임 플랫폼의 실시간 요청을 처리하는 서버를 개발합니다.
동시 접속 급증 상황에서도 안정적인 처리 구조를 설계합니다.
이벤트 메시지를 처리하는 파이프라인을 운영합니다.
장애를 탐지하고 원인을 분석해 재발을 막습니다.",55,ds_demo_v1
