page_id,capability_id,knowledge_version,status
wp_demo_backend_api-implementation,cap_backend_api-implementation,kn_demo_backend,published
wp_demo_backend_data-modeling,cap_backend_data-modeling,kn_demo_backend,published
wp_demo_backend_transaction-consistency,cap_backend_transaction-consistency,kn_demo_backend,published
wp_demo_backend_performance-scaling,cap_backend_performance-scaling,kn_demo_backend,published
wp_demo_backend_operability,cap_backend_operability,kn_demo_backend,published
wp_demo_backend_collaboration-quality,cap_backend_collaboration-quality,kn_demo_backend,published
wp_demo_frontend_ui-implementation,cap_frontend_ui-implementation,kn_demo_frontend,published
wp_demo_frontend_state-data-flow,cap_frontend_state-data-flow,kn_demo_frontend,published
wp_demo_frontend_experience-quality,cap_frontend_experience-quality,kn_demo_frontend,published
wp_demo_frontend_frontend-engineering,cap_frontend_frontend-engineering,kn_demo_frontend,published
wp_demo_ai_engineer_model-training,cap_ai_engineer_model-training,kn_demo_ai_engineer,published
wp_demo_ai_engineer_serving-ops,cap_ai_engineer_serving-ops,kn_demo_ai_engineer,published
wp_demo_ai_engineer_llm-application,cap_ai_engineer_llm-application,kn_demo_ai_engineer,published
wp_demo_data_engineer_data-modeling,cap_data_engineer_data-modeling,kn_demo_data_engineer,published
wp_demo_data_engineer_pipeline-engineering,cap_data_engineer_pipeline-engineering,kn_demo_data_engineer,published
wp_demo_data_engineer_stream-processing,cap_data_engineer_stream-processing,kn_demo_data_engineer,published
wp_demo_fullstack_feature-delivery,cap_fullstack_feature-delivery,kn_demo_fullstack,published
wp_demo_fullstack_contract-design,cap_fullstack_contract-design,kn_demo_fullstack,published
wp_demo_fullstack_ship-operate,cap_fullstack_ship-operate,kn_demo_fullstack,published
wp_demo_devops_container-orchestration,cap_devops_container-orchestration,kn_demo_devops,published
wp_demo_devops_delivery-automation,cap_devops_delivery-automation,kn_demo_devops,published
wp_demo_devops_reliability-operations,cap_devops_reliability-operations,kn_demo_devops,published
wp_demo_mobile_app-build,cap_mobile_app-build,kn_demo_mobile,published
wp_demo_mobile_app-structure,cap_mobile_app-structure,kn_demo_mobile,published
wp_demo_mobile_release-ops,cap_mobile_release-ops,kn_demo_mobile,published
wp_demo_security_vuln-diagnosis,cap_security_vuln-diagnosis,kn_demo_security,published
wp_demo_security_incident-response,cap_security_incident-response,kn_demo_security,published
wp_demo_security_compliance-design,cap_security_compliance-design,kn_demo_security,published
wp_demo_game_client_gameplay-impl,cap_game_client_gameplay-impl,kn_demo_game_client,published
wp_demo_game_client_runtime-perf,cap_game_client_runtime-perf,kn_demo_game_client,published
wp_demo_game_client_multiplay-sync,cap_game_client_multiplay-sync,kn_demo_game_client,published
