roadmap_item_id,concept_id,fill_kind
ri_demo_backend_overall_1,cc_backend_crud-api,normal
ri_demo_backend_overall_1,cc_backend_rdb-schema,normal
ri_demo_backend_overall_2,cc_backend_error-handling,normal
ri_demo_backend_overall_2,cc_backend_incident-recovery,normal
ri_demo_backend_overall_3,cc_backend_performance,normal
ri_demo_backend_overall_3,cc_backend_test-habit,normal
ri_demo_backend_overall_4,cc_backend_collab-story,normal
ri_demo_backend_overall_4,cc_backend_docs-habit,normal
ri_demo_backend_bigtech_platform_1,cc_backend_performance,dev
ri_demo_backend_bigtech_platform_1,cc_backend_crud-api,normal
ri_demo_backend_bigtech_platform_1,cc_backend_rdb-schema,normal
ri_demo_backend_bigtech_platform_2,cc_backend_event-pipeline,dev
ri_demo_backend_bigtech_platform_2,cc_backend_error-handling,normal
ri_demo_backend_bigtech_platform_2,cc_backend_incident-recovery,normal
ri_demo_backend_bigtech_platform_3,cc_backend_deploy-pipeline,dev
ri_demo_backend_bigtech_platform_3,cc_backend_performance,dev
ri_demo_backend_bigtech_platform_3,cc_backend_test-habit,normal
ri_demo_backend_bigtech_platform_4,cc_backend_collab-story,normal
ri_demo_backend_bigtech_platform_4,cc_backend_docs-habit,normal
ri_demo_backend_startup_1,cc_backend_deploy-pipeline,dev
ri_demo_backend_startup_1,cc_backend_crud-api,normal
ri_demo_backend_startup_1,cc_backend_rdb-schema,normal
ri_demo_backend_startup_2,cc_backend_tx-integrity,dev
ri_demo_backend_startup_2,cc_backend_error-handling,normal
ri_demo_backend_startup_2,cc_backend_incident-recovery,dev
ri_demo_backend_startup_3,cc_backend_incident-recovery,dev
ri_demo_backend_startup_3,cc_backend_performance,normal
ri_demo_backend_startup_3,cc_backend_test-habit,normal
ri_demo_backend_startup_4,cc_backend_collab-story,normal
ri_demo_backend_startup_4,cc_backend_docs-habit,normal
ri_demo_backend_b2b_saas_1,cc_backend_crud-api,dev
ri_demo_backend_b2b_saas_1,cc_backend_rdb-schema,normal
ri_demo_backend_b2b_saas_2,cc_backend_test-habit,dev
ri_demo_backend_b2b_saas_2,cc_backend_error-handling,normal
ri_demo_backend_b2b_saas_2,cc_backend_incident-recovery,normal
ri_demo_backend_b2b_saas_3,cc_backend_docs-habit,dev
ri_demo_backend_b2b_saas_3,cc_backend_performance,normal
ri_demo_backend_b2b_saas_3,cc_backend_test-habit,dev
ri_demo_backend_b2b_saas_4,cc_backend_collab-story,normal
ri_demo_backend_b2b_saas_4,cc_backend_docs-habit,dev
ri_demo_backend_fintech_finance_1,cc_backend_tx-integrity,dev
ri_demo_backend_fintech_finance_1,cc_backend_crud-api,normal
ri_demo_backend_fintech_finance_1,cc_backend_rdb-schema,normal
ri_demo_backend_fintech_finance_2,cc_backend_error-handling,normal
ri_demo_backend_fintech_finance_2,cc_backend_incident-recovery,dev
ri_demo_backend_fintech_finance_3,cc_backend_domain-study,dev
ri_demo_backend_fintech_finance_3,cc_backend_performance,normal
ri_demo_backend_fintech_finance_3,cc_backend_test-habit,normal
ri_demo_backend_fintech_finance_4,cc_backend_collab-story,normal
ri_demo_backend_fintech_finance_4,cc_backend_docs-habit,normal
ri_demo_backend_si_enterprise_1,cc_backend_docs-habit,dev
ri_demo_backend_si_enterprise_1,cc_backend_crud-api,normal
ri_demo_backend_si_enterprise_1,cc_backend_rdb-schema,dev
ri_demo_backend_si_enterprise_2,cc_backend_deploy-pipeline,dev
ri_demo_backend_si_enterprise_2,cc_backend_error-handling,normal
