capability_id,dimension_id,taxonomy_version_id
cap_backend_api-implementation,dim_backend_java-spring,tx_demo_backend
cap_backend_api-implementation,dim_backend_rest-api-design,tx_demo_backend
cap_backend_api-implementation,dim_backend_service-domain-modeling,tx_demo_backend
cap_backend_data-modeling,dim_backend_rdb-modeling,tx_demo_backend
cap_backend_data-modeling,dim_backend_payment-settlement,tx_demo_backend
cap_backend_transaction-consistency,dim_backend_transaction-integrity,tx_demo_backend
cap_backend_transaction-consistency,dim_backend_rdb-modeling,tx_demo_backend
cap_backend_performance-scaling,dim_backend_caching-performance,tx_demo_backend
cap_backend_performance-scaling,dim_backend_message-queue,tx_demo_backend
cap_backend_operability,dim_backend_container-deploy,tx_demo_backend
cap_backend_operability,dim_backend_cloud-infra,tx_demo_backend
cap_backend_operability,dim_backend_cicd-automation,tx_demo_backend
cap_backend_operability,dim_backend_monitoring-incident,tx_demo_backend
cap_backend_collaboration-quality,dim_backend_test-automation,tx_demo_backend
cap_backend_collaboration-quality,dim_backend_code-review-collab,tx_demo_backend
cap_backend_collaboration-quality,dim_backend_tech-documentation,tx_demo_backend
cap_frontend_ui-implementation,dim_frontend_react-component,tx_demo_frontend
cap_frontend_ui-implementation,dim_frontend_css-architecture,tx_demo_frontend
cap_frontend_state-data-flow,dim_frontend_typescript-typing,tx_demo_frontend
cap_frontend_state-data-flow,dim_frontend_state-management,tx_demo_frontend
cap_frontend_experience-quality,dim_frontend_web-performance,tx_demo_frontend
cap_frontend_experience-quality,dim_frontend_web-accessibility,tx_demo_frontend
cap_frontend_frontend-engineering,dim_frontend_frontend-testing,tx_demo_frontend
cap_frontend_frontend-engineering,dim_frontend_bundling-build,tx_demo_frontend
cap_ai_engineer_model-training,dim_ai_engineer_python,tx_demo_ai_engineer
cap_ai_engineer_model-training,dim_ai_engineer_dl-framework,tx_demo_ai_engineer
cap_ai_engineer_model-training,dim_ai_engineer_data-prep,tx_demo_ai_engineer
cap_ai_engineer_serving-ops,dim_ai_engineer_python,tx_demo_ai_engineer
cap_ai_engineer_serving-ops,dim_ai_engineer_model-serving,tx_demo_ai_engineer
cap_ai_engineer_llm-application,dim_ai_engineer_llm-app,tx_demo_ai_engineer
cap_ai_engineer_llm-application,dim_ai_engineer_data-prep,tx_demo_ai_engineer
cap_data_engineer_data-modeling,dim_data_engineer_sql-analytics,tx_demo_data_engineer
cap_data_engineer_data-modeling,dim_data_engineer_data-warehouse,tx_demo_data_engineer
cap_data_engineer_pipeline-engineering,dim_data_engineer_spark-batch,tx_demo_data_engineer
cap_data_engineer_pipeline-engineering,dim_data_engineer_workflow-orchestration,tx_demo_data_engineer
cap_data_engineer_stream-processing,dim_data_engineer_streaming-ingest,tx_demo_data_engineer
cap_fullstack_feature-delivery,dim_fullstack_react-ui,tx_demo_fullstack
cap_fullstack_feature-delivery,dim_fullstack_node-typescript,tx_demo_fullstack
cap_fullstack_contract-design,dim_fullstack_rest-api,tx_demo_fullstack
cap_fullstack_contract-design,dim_fullstack_rdb-modeling,tx_demo_fullstack
cap_fullstack_ship-operate,dim_fullstack_cloud-deploy,tx_demo_fullstack
cap_devops_container-orchestration,dim_devops_kubernetes,tx_demo_devops
cap_devops_container-orchestration,dim_devops_cloud-network,tx_demo_devops
cap_devops_delivery-automation,dim_devops_cicd-pipeline,tx_demo_devops
cap_devops_delivery-automation,dim_devops_iac-terraform,tx_demo_devops
cap_devops_reliability-operations,dim_devops_observability,tx_demo_devops
cap_devops_reliability-operations,dim_devops_kubernetes,tx_demo_devops
cap_mobile_app-build,dim_mobile_kotlin-android,tx_demo_mobile
cap_mobile_app-build,dim_mobile_swift-ios,tx_demo_mobile
cap_mobile_app-structure,dim_mobile_app-architecture,tx_demo_mobile
cap_mobile_app-structure,dim_mobile_network-api,tx_demo_mobile
cap_mobile_release-ops,dim_mobile_store-release,tx_demo_mobile
cap_security_vuln-diagnosis,dim_security_web-vuln-assessment,tx_demo_security
cap_security_vuln-diagnosis,dim_security_secure-coding,tx_demo_security
cap_security_incident-response,dim_security_soc-siem,tx_demo_security
cap_security_incident-response,dim_security_network-security,tx_demo_security
cap_security_compliance-design,dim_security_privacy-compliance,tx_demo_security
cap_game_client_gameplay-impl,dim_game_client_unity-csharp,tx_demo_game_client
cap_game_client_gameplay-impl,dim_game_client_unreal-cpp,tx_demo_game_client
cap_game_client_gameplay-impl,dim_game_client_game-math,tx_demo_game_client
cap_game_client_runtime-perf,dim_game_client_graphics-opt,tx_demo_game_client
cap_game_client_runtime-perf,dim_game_client_unity-csharp,tx_demo_game_client
cap_game_client_multiplay-sync,dim_game_client_net-sync,tx_demo_game_client
cap_game_client_multiplay-sync,dim_game_client_game-math,tx_demo_game_client
