# 재무상태표 입력 양식 — 종이책의 재무상태표를 보고 [금액] 칸만 채우세요.
# · 없는 과목은 그냥 비워두세요 (0으로 침). 억지로 0을 적을 필요 없습니다.
# · 대분류/중분류는 어디에 적는지 헷갈리지 말라고 있는 것 — 계산엔 [구분]과 [금액]만 씁니다.
# · [구분]은 이미 채워져 있으니 건드리지 마세요 (자산 / 자산차감 / 부채 / 자본).
# · 감가상각누계액은 자산을 깎는 항목이라 구분이 '자산차감'입니다. 양수로 적으세요.
# · 여기 없는 과목이 종이책에 있으면 아래 줄에 추가하세요 (전체 목록: data/계정과목-카탈로그.md).
# · 검증: (자산 합계 − 자산차감 합계) = (부채 합계 + 자본 합계) 여야 통과합니다.
대분류,중분류,계정,구분,금액
유동자산,당좌자산,현금,자산,
유동자산,당좌자산,보통예금,자산,
유동자산,당좌자산,정기예금,자산,
유동자산,당좌자산,매출채권,자산,
유동자산,당좌자산,대손충당금,자산차감,
유동자산,당좌자산,미수금,자산,
유동자산,당좌자산,미수수익,자산,
유동자산,당좌자산,선급금,자산,
유동자산,당좌자산,선급비용,자산,
유동자산,당좌자산,선납세금,자산,
유동자산,당좌자산,단기대여금,자산,
유동자산,재고자산,상품,자산,
유동자산,재고자산,제품,자산,
유동자산,재고자산,원재료,자산,
비유동자산,투자자산,장기금융상품,자산,
비유동자산,투자자산,투자부동산,자산,
비유동자산,투자자산,장기대여금,자산,
비유동자산,유형자산,토지,자산,
비유동자산,유형자산,건물,자산,
비유동자산,유형자산,감가상각누계액(건물),자산차감,
비유동자산,유형자산,구축물,자산,
비유동자산,유형자산,기계장치,자산,
비유동자산,유형자산,감가상각누계액(기계),자산차감,
비유동자산,유형자산,차량운반구,자산,
비유동자산,유형자산,감가상각누계액(차량),자산차감,
비유동자산,유형자산,비품,자산,
비유동자산,유형자산,감가상각누계액(비품),자산차감,
비유동자산,유형자산,건설중인자산,자산,
비유동자산,무형자산,영업권,자산,
비유동자산,무형자산,개발비,자산,
비유동자산,무형자산,소프트웨어,자산,
비유동자산,기타비유동자산,임차보증금,자산,
비유동자산,기타비유동자산,기타보증금(지급),자산,
유동부채,,매입채무,부채,
유동부채,,미지급금,부채,
유동부채,,미지급비용,부채,
유동부채,,예수금,부채,
유동부채,,선수금,부채,
유동부채,,선수수익,부채,
유동부채,,단기차입금,부채,
유동부채,,미지급세금(미지급법인세),부채,
비유동부채,,장기차입금,부채,
비유동부채,,임대보증금,부채,
비유동부채,,퇴직급여충당부채,부채,
자본,자본금,자본금,자본,
자본,자본잉여금,주식발행초과금,자본,
자본,이익잉여금,이익준비금,자본,
자본,이익잉여금,미처분이익잉여금,자본,
