profile_id,capability_id,taxonomy_version_id,scope_level,scope_id,entry_segment,period_id,depth_distribution,expected_depth,sample_size,evidence_support,confidence,analysis_version
cdp_demo_backend_api-implementation_overall_all,cap_backend_api-implementation,tx_demo_backend,overall,backend,all,y2026,"{""foundation"": 1, ""application"": 14, ""tradeoff"": 3}",application,18,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 18}",0.85000,an_demo_backend
cdp_demo_backend_api-implementation_overall_entry_junior,cap_backend_api-implementation,tx_demo_backend,overall,backend,entry_junior,y2026,"{""foundation"": 1, ""application"": 7, ""tradeoff"": 2}",application,10,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 10}",0.85000,an_demo_backend
cdp_demo_backend_api-implementation_bigtech_platform_all,cap_backend_api-implementation,tx_demo_backend,cluster,bigtech_platform,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_bigtech_platform_entry_junior,cap_backend_api-implementation,tx_demo_backend,cluster,bigtech_platform,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 1}",tradeoff,2,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_startup_all,cap_backend_api-implementation,tx_demo_backend,cluster,startup,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_startup_entry_junior,cap_backend_api-implementation,tx_demo_backend,cluster,startup,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 0}",application,1,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 1}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_b2b_saas_all,cap_backend_api-implementation,tx_demo_backend,cluster,b2b_saas,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_b2b_saas_entry_junior,cap_backend_api-implementation,tx_demo_backend,cluster,b2b_saas,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 1}",tradeoff,2,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_fintech_finance_all,cap_backend_api-implementation,tx_demo_backend,cluster,fintech_finance,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_fintech_finance_entry_junior,cap_backend_api-implementation,tx_demo_backend,cluster,fintech_finance,entry_junior,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_si_enterprise_all,cap_backend_api-implementation,tx_demo_backend,cluster,si_enterprise,all,y2026,"{""foundation"": 1, ""application"": 2, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_si_enterprise_entry_junior,cap_backend_api-implementation,tx_demo_backend,cluster,si_enterprise,entry_junior,y2026,"{""foundation"": 1, ""application"": 1, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_api-implementation_game_all,cap_backend_api-implementation,tx_demo_backend,cluster,game,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_java-spring"", ""dim_backend_rest-api-design"", ""dim_backend_service-domain-modeling""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_overall_all,cap_backend_data-modeling,tx_demo_backend,overall,backend,all,y2026,"{""foundation"": 1, ""application"": 14, ""tradeoff"": 3}",application,18,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 18}",0.85000,an_demo_backend
cdp_demo_backend_data-modeling_overall_entry_junior,cap_backend_data-modeling,tx_demo_backend,overall,backend,entry_junior,y2026,"{""foundation"": 1, ""application"": 7, ""tradeoff"": 2}",application,10,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 10}",0.85000,an_demo_backend
cdp_demo_backend_data-modeling_bigtech_platform_all,cap_backend_data-modeling,tx_demo_backend,cluster,bigtech_platform,all,y2026,"{""foundation"": 0, ""application"": 3, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_bigtech_platform_entry_junior,cap_backend_data-modeling,tx_demo_backend,cluster,bigtech_platform,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 0}",application,2,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_startup_all,cap_backend_data-modeling,tx_demo_backend,cluster,startup,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_startup_entry_junior,cap_backend_data-modeling,tx_demo_backend,cluster,startup,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 0}",application,1,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 1}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_b2b_saas_all,cap_backend_data-modeling,tx_demo_backend,cluster,b2b_saas,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_b2b_saas_entry_junior,cap_backend_data-modeling,tx_demo_backend,cluster,b2b_saas,entry_junior,y2026,"{""foundation"": 0, ""application"": 1, ""tradeoff"": 1}",tradeoff,2,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 2}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_fintech_finance_all,cap_backend_data-modeling,tx_demo_backend,cluster,fintech_finance,all,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_fintech_finance_entry_junior,cap_backend_data-modeling,tx_demo_backend,cluster,fintech_finance,entry_junior,y2026,"{""foundation"": 0, ""application"": 2, ""tradeoff"": 1}",application,3,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 3}",0.70000,an_demo_backend
cdp_demo_backend_data-modeling_si_enterprise_all,cap_backend_data-modeling,tx_demo_backend,cluster,si_enterprise,all,y2026,"{""foundation"": 1, ""application"": 2, ""tradeoff"": 0}",application,3,"{""dimensions"": [""dim_backend_rdb-modeling"", ""dim_backend_payment-settlement""], ""matched_postings"": 3}",0.70000,an_demo_backend
