claim_id,analysis_version,output_id,claim_type,requirement_kind,scope_level,scope_id,claim_text,structured_slots,confidence,confidence_components,verification_status
claim_demo_backend_000001,an_demo_backend,out_demo_backend_stat_overall,statistic,\N,overall,backend,Java·Spring 기반 서버 개발 은 최근 1년 백엔드 공고의 100% 에 나타난다.,"{""dimension_id"": ""dim_backend_java-spring"", ""metric_family"": ""posting_prevalence"", ""period_id"": ""y2026"", ""entry_segment"": ""all""}",0.82000,"{""evidence_count"": 1.0, ""independent_companies"": 1.0, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000002,an_demo_backend,out_demo_backend_stat_overall,statistic,\N,overall,backend,관계형 데이터베이스 모델링 은 최근 1년 백엔드 공고의 100% 에 나타난다.,"{""dimension_id"": ""dim_backend_rdb-modeling"", ""metric_family"": ""posting_prevalence"", ""period_id"": ""y2026"", ""entry_segment"": ""all""}",0.82000,"{""evidence_count"": 1.0, ""independent_companies"": 1.0, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000003,an_demo_backend,out_demo_backend_stat_overall,statistic,\N,overall,backend,REST API 설계 은 최근 1년 백엔드 공고의 100% 에 나타난다.,"{""dimension_id"": ""dim_backend_rest-api-design"", ""metric_family"": ""posting_prevalence"", ""period_id"": ""y2026"", ""entry_segment"": ""all""}",0.82000,"{""evidence_count"": 1.0, ""independent_companies"": 1.0, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000004,an_demo_backend,out_demo_backend_stat_overall,statistic,\N,overall,backend,테스트 코드 작성 은 최근 1년 백엔드 공고의 94% 에 나타난다.,"{""dimension_id"": ""dim_backend_test-automation"", ""metric_family"": ""posting_prevalence"", ""period_id"": ""y2026"", ""entry_segment"": ""all""}",0.82000,"{""evidence_count"": 1.0, ""independent_companies"": 1.0, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000005,an_demo_backend,out_demo_backend_stat_overall,statistic,\N,overall,backend,코드리뷰·협업 커뮤니케이션 은 최근 1년 백엔드 공고의 94% 에 나타난다.,"{""dimension_id"": ""dim_backend_code-review-collab"", ""metric_family"": ""posting_prevalence"", ""period_id"": ""y2026"", ""entry_segment"": ""all""}",0.82000,"{""evidence_count"": 1.0, ""independent_companies"": 1.0, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000006,an_demo_backend,out_demo_backend_intp_overall,posting_explicit,explicit_requirement,overall,backend,REST API 설계·완성 은 기업군과 무관하게 반복되는 공통 기대치다.,"{""dimension_id"": ""dim_backend_rest-api-design"", ""baseline_title"": ""REST API 설계·완성""}",0.78000,"{""evidence_count"": 1.0, ""independent_companies"": 0.6, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000007,an_demo_backend,out_demo_backend_intp_overall,posting_explicit,explicit_requirement,overall,backend,서버 프레임워크로 API 완성 은 기업군과 무관하게 반복되는 공통 기대치다.,"{""dimension_id"": ""dim_backend_java-spring"", ""baseline_title"": ""서버 프레임워크로 API 완성""}",0.78000,"{""evidence_count"": 1.0, ""independent_companies"": 0.6, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000008,an_demo_backend,out_demo_backend_intp_overall,posting_explicit,explicit_requirement,overall,backend,RDB 설계·쿼리 기본기 은 기업군과 무관하게 반복되는 공통 기대치다.,"{""dimension_id"": ""dim_backend_rdb-modeling"", ""baseline_title"": ""RDB 설계·쿼리 기본기""}",0.78000,"{""evidence_count"": 1.0, ""independent_companies"": 0.6, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 1.0}",verified
claim_demo_backend_000009,an_demo_backend,out_demo_backend_intp_bigtech_platform,cluster_generalization,inferred_requirement,cluster,bigtech_platform,빅테크·플랫폼 은 성능 에서 공통 기대치보다 높은 수준을 요구한다.,"{""dimension_id"": ""dim_backend_caching-performance"", ""cluster_id"": ""bigtech_platform"", ""baseline"": ""성능을 고려한 설계"", ""deviation"": ""부하 측정과 개선 전후 지표까지""}",0.71000,"{""evidence_count"": 1.0, ""independent_companies"": 0.6, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 0.8}",verified
claim_demo_backend_000010,an_demo_backend,out_demo_backend_intp_bigtech_platform,cluster_generalization,inferred_requirement,cluster,bigtech_platform,빅테크·플랫폼 은 비동기 처리 에서 공통 기대치보다 높은 수준을 요구한다.,"{""dimension_id"": ""dim_backend_message-queue"", ""cluster_id"": ""bigtech_platform"", ""baseline"": ""공통 항목에 없음"", ""deviation"": ""신규 · 이벤트 발행·소비와 중복 처리""}",0.58000,"{""evidence_count"": 1.0, ""independent_companies"": 0.6, ""source_tier_score"": 1.0, ""sample_status_score"": 0.6, ""entailment_score"": 0.0, ""contradiction_penalty"": 0.0, ""coverage_score"": 0.8}",verified
