alias_id,dimension_id,taxonomy_version_id,alias_text,alias_source
alias_backend_java-spring_1,dim_backend_java-spring,tx_demo_backend,Java,manual
alias_backend_java-spring_2,dim_backend_java-spring,tx_demo_backend,Spring Boot,discovered
alias_backend_java-spring_3,dim_backend_java-spring,tx_demo_backend,스프링 부트,discovered
alias_backend_rdb-modeling_1,dim_backend_rdb-modeling,tx_demo_backend,MySQL,manual
alias_backend_rdb-modeling_2,dim_backend_rdb-modeling,tx_demo_backend,RDB 모델링,discovered
alias_backend_rdb-modeling_3,dim_backend_rdb-modeling,tx_demo_backend,SQL 튜닝,discovered
alias_backend_caching-performance_1,dim_backend_caching-performance,tx_demo_backend,Redis,manual
alias_backend_caching-performance_2,dim_backend_caching-performance,tx_demo_backend,캐시,discovered
alias_backend_caching-performance_3,dim_backend_caching-performance,tx_demo_backend,조회 성능 개선,discovered
alias_backend_message-queue_1,dim_backend_message-queue,tx_demo_backend,Kafka,manual
alias_backend_message-queue_2,dim_backend_message-queue,tx_demo_backend,메시지 큐,discovered
alias_backend_message-queue_3,dim_backend_message-queue,tx_demo_backend,이벤트 기반 처리,discovered
alias_backend_rest-api-design_1,dim_backend_rest-api-design,tx_demo_backend,REST API,manual
alias_backend_rest-api-design_2,dim_backend_rest-api-design,tx_demo_backend,API 설계,discovered
alias_backend_rest-api-design_3,dim_backend_rest-api-design,tx_demo_backend,HTTP API,discovered
alias_backend_transaction-integrity_1,dim_backend_transaction-integrity,tx_demo_backend,트랜잭션,manual
alias_backend_transaction-integrity_2,dim_backend_transaction-integrity,tx_demo_backend,데이터 정합성,discovered
alias_backend_transaction-integrity_3,dim_backend_transaction-integrity,tx_demo_backend,동시성 제어,discovered
alias_backend_test-automation_1,dim_backend_test-automation,tx_demo_backend,테스트 코드,manual
alias_backend_test-automation_2,dim_backend_test-automation,tx_demo_backend,단위 테스트,discovered
alias_backend_test-automation_3,dim_backend_test-automation,tx_demo_backend,JUnit,discovered
alias_backend_monitoring-incident_1,dim_backend_monitoring-incident,tx_demo_backend,모니터링,manual
alias_backend_monitoring-incident_2,dim_backend_monitoring-incident,tx_demo_backend,장애 대응,discovered
alias_backend_monitoring-incident_3,dim_backend_monitoring-incident,tx_demo_backend,APM,discovered
alias_backend_container-deploy_1,dim_backend_container-deploy,tx_demo_backend,Docker,manual
alias_backend_container-deploy_2,dim_backend_container-deploy,tx_demo_backend,컨테이너,discovered
alias_backend_container-deploy_3,dim_backend_container-deploy,tx_demo_backend,이미지 빌드,discovered
alias_backend_cloud-infra_1,dim_backend_cloud-infra,tx_demo_backend,AWS,manual
alias_backend_cloud-infra_2,dim_backend_cloud-infra,tx_demo_backend,클라우드 인프라,discovered
alias_backend_cloud-infra_3,dim_backend_cloud-infra,tx_demo_backend,Kubernetes,discovered
alias_backend_cicd-automation_1,dim_backend_cicd-automation,tx_demo_backend,CI/CD,manual
alias_backend_cicd-automation_2,dim_backend_cicd-automation,tx_demo_backend,배포 자동화,discovered
alias_backend_cicd-automation_3,dim_backend_cicd-automation,tx_demo_backend,GitHub Actions,discovered
alias_backend_payment-settlement_1,dim_backend_payment-settlement,tx_demo_backend,결제,manual
alias_backend_payment-settlement_2,dim_backend_payment-settlement,tx_demo_backend,정산,discovered
alias_backend_payment-settlement_3,dim_backend_payment-settlement,tx_demo_backend,금융 도메인,discovered
alias_backend_service-domain-modeling_1,dim_backend_service-domain-modeling,tx_demo_backend,도메인 모델링,manual
alias_backend_service-domain-modeling_2,dim_backend_service-domain-modeling,tx_demo_backend,커머스 도메인,discovered
alias_backend_service-domain-modeling_3,dim_backend_service-domain-modeling,tx_demo_backend,비즈니스 로직 설계,discovered
alias_backend_code-review-collab_1,dim_backend_code-review-collab,tx_demo_backend,코드리뷰,manual
alias_backend_code-review-collab_2,dim_backend_code-review-collab,tx_demo_backend,협업,discovered
alias_backend_code-review-collab_3,dim_backend_code-review-collab,tx_demo_backend,Git 협업,discovered
