job_id,company,title,posted_at,deadline,status,job_category,is_intern,education,career_min_months,career_max_months,certificates,major,foreign_lang_test,foreign_lang_score,computer_skill
1,한국산업기술시험원,2026년 한국산업기술시험원 2분기 2차수 위촉계약직(사무/기술/기능직) 공개모집,2026.07.07,2026.07.22,진행중,공무기능,False,고졸,0,0,,전공무관,,,무관
2,한국산업기술시험원,2026년 한국산업기술시험원 2분기 2차수 위촉계약직(행정/연구직) 공개모집,2026.07.07,2026.07.22,진행중,연구전문,False,석사,36,72,,관련 전공(공고별 상이),TOEIC,650,필요
3,국립공원공단,[속리산] 속리산국립공원사무소 기간제(기마순찰-대체인력) 직원 채용,2026.07.07,2026.07.21,진행중,사무행정,False,학사,12,36,,전공무관,,,필요
4,한국보훈복지의료공단,[광주보훈병원] 계약직 기능직(간호조무사) 직원 채용 공고,2026.07.07,2026.07.17,진행중,의료보건,False,전문학사,36,60,방사선사,임상병리학과,,,무관
5,학교법인한국폴리텍,한국폴리텍대학 전남캠퍼스 업무직(조리원) 공개 채용(2차) 공고,2026.07.07,2026.07.19,진행중,공무기능,False,학력무관,0,0,,전공무관,,,무관
6,한국보훈복지의료공단,[인천보훈병원] 2026년 정규직 간호직(간호사) 공개채용 ,2026.07.07,2026.07.21,진행중,의료보건,False,전문학사,0,0,"간호사,물리치료사",보건행정학과,,,무관
7,한국수자원공사,[한국수자원공사] 대산산업용수관리단 대산해수담수센터 단기계약근로자(전기안전관리자) 채용 공고,2026.07.07,2026.07.21,진행중,기술설비,False,고졸,0,0,전기기사,전공무관,,,무관
8,한국수자원공사,[한국수자원공사] 청주권지사 단기계약근로자(국유재산 관리) 채용 공고(장애인 제한채용),2026.07.07,2026.07.21,진행중,기술설비,False,전문학사,36,60,정보통신기사,전기공학과,,,필요
9,국립공원공단,[한려해상]2026년 기간제 직원(자원보전) 채용 공고,2026.07.07,2026.07.21,진행중,기타,False,전문학사,0,0,,전공무관,,,무관
10,한국보훈복지의료공단,[광주보훈요양원] 계약직 요양보호직(휴직대체_재공고) 직원 채용 공고,2026.07.07,2026.07.21,진행중,의료보건,False,학사,12,36,"응급구조사,간호사",간호학과,,,무관
11,주택관리공단(주),채용형 인턴 채용공고(주택관리공단 인천지사),2026.07.07,2026.07.14,진행중,사무행정,True,학력무관,0,12,,전공무관,,,무관
12,국립공원공단,[내장산] 2026년 내장산국립공원사무소 기간제(환경관리) 직원 채용 공고,2026.07.07,2026.07.21,진행중,기술설비,False,학사,12,36,정보통신기사,전공무관,,,무관
13,한국보훈복지의료공단,[전주보훈요양원] 간호사(육아휴직 대체 계약직) 보훈특별고용 공고,2026.07.07,2026.07.22,진행중,의료보건,False,석사,0,0,"물리치료사,방사선사",간호학과,,,무관
14,한국수자원공사,[한국수자원공사] 광주수도지사 특수직(수탁운영_지방상수도 시설운영) 채용 공고,2026.07.07,2026.07.21,진행중,기술설비,False,고졸,12,36,산업안전기사,전공무관,,,무관
15,한국소비자원,2026년 8월 일용직 채용 공고,2026.07.07,2026.07.22,진행중,기타,False,학사,0,0,,전공무관,,,무관
16,근로복지공단,[정선병원] 기간제 의사(응급실) 채용 공고,2026.07.07,2026.07.14,진행중,의료보건,False,학사,0,0,방사선사,간호학과,,,무관
17,근로복지공단,[정선병원] 기간제(약사) 채용 공고,2026.07.07,2026.07.14,진행중,의료보건,False,전문학사,12,36,"응급구조사,요양보호사",보건행정학과,,,무관
18,근로복지공단,[창원병원] 별정직 의사(정형외과) 채용 공고,2026.07.07,2026.07.20,진행중,의료보건,False,학사,12,36,간호사,물리치료학과,OPIc,700,무관
