revision_id,page_id,definition,why_required,depth_criteria,prerequisites,common_misconceptions,interview_verification,learning_sequence,produced_by_run_id
wr_demo_backend_api-implementation_1,wp_demo_backend_api-implementation,한 도메인의 자원을 HTTP API 로 완성해 배포까지 끌고 가는 능력.,최근 공고 전량이 API 개발을 요구하고 다수가 자격요건에 둡니다. 이 역량이 없으면 다른 준비가 평가에 닿지 않습니다.,"{""foundation"": ""자원과 메서드를 규칙대로 고를 수 있다"", ""application"": ""예외 응답과 검증까지 갖춰 배포한다"", ""tradeoff"": ""하위 호환과 버전 정책을 근거와 함께 고른다""}","[""서버 프레임워크의 요청 흐름 이해"", ""HTTP 상태 코드와 헤더의 의미""]","[""동작하면 완성이라는 생각"", ""예외 응답을 문서 밖의 일로 두는 습관""]","[""왜 이 자원 구조인가"", ""필드를 지울 때 무엇을 먼저 하나""]","[""한 도메인 CRUD"", ""예외·검증 정리"", ""배포"", ""변경과 호환""]",run_demo_backend_knowledge
wr_demo_backend_data-modeling_1,wp_demo_backend_data-modeling,요구를 테이블과 쿼리로 옮기고 조회 비용을 설명하는 능력.,관계형 데이터베이스 요구가 전 기업군 공통이며 필수 표기 비율이 높습니다.,"{""foundation"": ""정규화와 기본 조인을 쓸 수 있다"", ""application"": ""조회 패턴을 보고 인덱스를 고른다"", ""tradeoff"": ""쓰기 비용과 조회 비용을 견줘 설계를 고른다""}","[""SQL 기본 문법"", ""실행 계획을 읽는 법""]","[""인덱스를 많이 걸수록 빠르다는 생각"", ""정규화가 항상 옳다는 생각""]","[""이 인덱스의 근거는 무엇인가"", ""느려지는 작업은 없나""]","[""스키마 설계"", ""실행 계획 읽기"", ""인덱스 실험"", ""비용 견주기""]",run_demo_backend_knowledge
wr_demo_backend_transaction-consistency_1,wp_demo_backend_transaction-consistency,동시 요청과 실패 재처리에서 데이터가 어긋나지 않게 만드는 능력.,금융·게임처럼 값이 어긋나면 되돌리기 어려운 도메인이 신입에게도 설명 가능한 수준을 요구합니다.,"{""foundation"": ""커밋과 롤백, 격리수준의 이름을 안다"", ""application"": ""동시 요청 시나리오를 만들어 막아 본다"", ""tradeoff"": ""멱등성과 재처리 설계를 근거와 함께 고른다""}","[""관계형 데이터베이스 기본기"", ""경쟁 상태의 원인""]","[""트랜잭션을 걸면 동시성 문제가 사라진다는 생각"", ""재시도가 항상 안전하다는 생각""]","[""그 격리수준에서 생기는 문제는"", ""같은 요청이 두 번 오면""]","[""개념 정리"", ""동시 요청 재현"", ""락·격리수준 적용"", ""멱등성 설계""]",run_demo_backend_knowledge
wr_demo_backend_performance-scaling_1,wp_demo_backend_performance-scaling,병목을 측정하고 캐시·비동기로 처리량을 늘리는 능력.,트래픽이 전제로 깔린 기업군에서 자격요건으로 올라오는 항목입니다.,"{""foundation"": ""지연과 처리량의 차이를 안다"", ""application"": ""부하를 측정하고 병목을 찾는다"", ""tradeoff"": ""캐시 일관성과 비동기 복잡도를 견준다""}","[""측정 도구 사용"", ""데이터베이스 조회 비용 이해""]","[""캐시를 붙이면 빨라진다는 생각"", ""평균 응답만 보는 습관""]","[""무엇이 병목이었나"", ""캐시가 틀린 값을 주면""]","[""측정"", ""병목 특정"", ""개선"", ""전후 비교""]",run_demo_backend_knowledge
wr_demo_backend_operability_1,wp_demo_backend_operability,배포와 관측을 갖추고 장애를 탐지·복구하는 능력.,직무 외 요구 가운데 인프라·배포와 운영·모니터링이 가장 자주 나타납니다.,"{""foundation"": ""컨테이너로 빌드해 올려 본다"", ""application"": ""파이프라인과 지표를 갖춘다"", ""tradeoff"": ""장애 복구 절차를 설계하고 재발을 막는다""}","[""리눅스 기본 명령"", ""빌드와 실행의 분리 이해""]","[""배포는 인프라 팀의 일이라는 생각"", ""로그를 남기면 관측이 된다는 생각""]","[""새벽에 죽으면 무엇부터 보나"", ""재발을 막기 위해 무엇을 남겼나""]","[""컨테이너 빌드"", ""배포 자동화"", ""지표 정의"", ""장애 실험""]",run_demo_backend_knowledge
wr_demo_backend_collaboration-quality_1,wp_demo_backend_collaboration-quality,"테스트와 리뷰, 문서로 변경의 근거를 남기는 능력.","코드리뷰와 문서 요구가 기업군과 무관하게 반복되며, 테스트는 우대에서 자격요건으로 이동 중입니다.","{""foundation"": ""변경 단위를 나눠 리뷰를 받는다"", ""application"": ""테스트로 회귀를 막고 결정을 문서로 남긴다"", ""tradeoff"": ""테스트 범위와 유지 비용을 견준다""}","[""버전 관리 기본"", ""테스트 도구 사용""]","[""커버리지가 품질이라는 생각"", ""문서는 나중 일이라는 생각""]","[""무엇을 테스트하지 않았나"", ""이 결정을 어디에 남겼나""]","[""작은 PR"", ""테스트 도입"", ""결정 기록"", ""범위 조정""]",run_demo_backend_knowledge
wr_demo_frontend_ui-implementation_1,wp_demo_frontend_ui-implementation,디자인 시안을 컴포넌트로 나누고 재사용 가능한 스타일 구조로 완성하는 능력.,최근 공고 전량이 React 화면 개발을 요구하고 대부분 자격요건에 둡니다. 이 역량이 없으면 다른 준비가 평가에 닿지 않습니다.,"{""foundation"": ""시안을 컴포넌트로 나누어 화면을 만든다"", ""application"": ""재사용을 염두에 두고 공통 컴포넌트를 뽑는다"", ""tradeoff"": ""컴포넌트 경계와 스타일 규칙을 근거와 함께 고른다""}","[""HTML·CSS 기본 구조"", ""React 의 상태와 이벤트 흐름""]","[""화면이 그려지면 완성이라는 생각"", ""스타일은 마지막에 붙이면 된다는 생각""]","[""왜 이렇게 컴포넌트를 나눴나"", ""다른 화면에서 재사용할 때 무엇이 걸렸나""]","[""화면 하나 완성"", ""공통 컴포넌트 추출"", ""스타일 규칙 정리"", ""배포""]",run_demo_frontend_knowledge
wr_demo_frontend_state-data-flow_1,wp_demo_frontend_state-data-flow,서버 데이터와 화면 상태의 경계를 정하고 타입으로 규칙을 고정하는 능력.,"상태 흐름 설계는 기업군마다 요구 수준이 가장 크게 갈리는 항목이고, 편차로 잡히는 빈도가 가장 높습니다.","{""foundation"": ""상태 관리 도구를 하나 써 본다"", ""application"": ""서버 데이터와 화면 상태의 경계를 정한다"", ""tradeoff"": ""실시간 동기화와 충돌·재시도까지 설계한다""}","[""비동기 처리와 프로미스"", ""React 의 렌더링 단위""]","[""전역 상태가 많을수록 편하다는 생각"", ""로딩과 에러는 나중 일이라는 생각""]","[""무엇을 전역으로 두었나"", ""실패했을 때 화면은 어떻게 되나""]","[""상태 목록화"", ""경계 정하기"", ""로딩·에러 처리"", ""동기화 설계""]",run_demo_frontend_knowledge
wr_demo_frontend_experience-quality_1,wp_demo_frontend_experience-quality,성능 지표와 접근성 기준을 측정해 실제 사용자의 체감을 끌어올리는 능력.,"성능 지표와 접근성 기준을 명시하는 공고가 늘고 있으며, 신입 공고에도 심화 신호로 나타납니다.","{""foundation"": ""지표 이름과 검사 도구를 안다"", ""application"": ""측정해 병목을 찾고 하나를 고친다"", ""tradeoff"": ""성능과 구현 복잡도를 견줘 선택을 설명한다""}","[""브라우저 렌더링 흐름"", ""검사 도구 사용법""]","[""빨라 보이면 빠르다는 생각"", ""접근성은 장애인만을 위한 것이라는 생각""]","[""느린 지점을 어떻게 찾았나"", ""키보드로만 이 화면을 쓸 수 있나""]","[""지표 측정"", ""병목 찾기"", ""개선과 재측정"", ""점검 자동화""]",run_demo_frontend_knowledge
wr_demo_frontend_frontend-engineering_1,wp_demo_frontend_frontend-engineering,테스트와 빌드 도구로 변경을 안전하게 만들고 배포 산출물을 관리하는 능력.,테스트와 빌드 요구가 우대에서 자격요건으로 이동하는 흐름이 통계에서 뚜렷합니다.,"{""foundation"": ""테스트를 몇 개 써 보고 빌드 설정을 읽는다"", ""application"": ""회귀를 막는 테스트를 유지하고 번들을 분석한다"", ""tradeoff"": ""무엇을 테스트하지 않을지와 분할 기준을 정한다""}","[""테스트 도구 기본 사용"", ""모듈과 의존성 개념""]","[""커버리지가 품질이라는 생각"", ""빌드 설정은 남의 일이라는 생각""]","[""무엇을 테스트하지 않았나"", ""번들에서 무엇을 덜어냈나""]","[""테스트 도입"", ""회귀 사례 기록"", ""번들 분석"", ""설정 문서화""]",run_demo_frontend_knowledge
